"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 29 17:26:12 GMT 2023","Wed Nov 29 17:26:14 GMT 2023","2019","","projectApi._positiveTest.DeletePetTest","","projectApi._positiveTest.DeletePetTest","deletePetById","Удаление питомца по id и проверка, что данный питомец удалён из BD",""
"passed","Wed Nov 29 17:26:12 GMT 2023","Wed Nov 29 17:26:12 GMT 2023","645","","projectApi._negativeTest.PostUpdateNegativeTest","","projectApi._negativeTest.PostUpdateNegativeTest","postPetIdWithoutFormData","Обновление данных питомца с несуществующим в DB id",""
"passed","Wed Nov 29 17:26:07 GMT 2023","Wed Nov 29 17:26:10 GMT 2023","3031","","projectApi._negativeTest.DeletePetNegativeTest","","projectApi._negativeTest.DeletePetNegativeTest","deletingAPetForAnIDThatDoesNotExistInDB","Удаление питомца по несуществующему в DB id",""
"passed","Wed Nov 29 17:26:17 GMT 2023","Wed Nov 29 17:26:18 GMT 2023","892","","projectApi._positiveTest.PutPetTest","","projectApi._positiveTest.PutPetTest","putPetById","Обновление существующего в DB питомца",""
"passed","Wed Nov 29 17:26:15 GMT 2023","Wed Nov 29 17:26:16 GMT 2023","475","","projectApi._positiveTest.PostAddNewPetTest","","projectApi._positiveTest.PostAddNewPetTest","addPetCorrectData","Добавление нового питомца в магазин",""
"passed","Wed Nov 29 17:26:16 GMT 2023","Wed Nov 29 17:26:17 GMT 2023","1348","","projectApi._positiveTest.PostUpdateAPetWithForm","","projectApi._positiveTest.PostUpdateAPetWithForm","updatesAPetInTheStoreWithFormData","Обновление имени и статуса питомца",""
"skipped","Wed Nov 29 17:26:12 GMT 2023","Wed Nov 29 17:26:12 GMT 2023","0","","projectApi._negativeTest.PutPetNegativeTest","","projectApi._negativeTest.PutPetNegativeTest","putPetInExist","Ошибка при попытке обновить несуществующее домашнее животное",""
"passed","Wed Nov 29 17:26:11 GMT 2023","Wed Nov 29 17:26:12 GMT 2023","457","","projectApi._negativeTest.PostAddNegativeTest","","projectApi._negativeTest.PostAddNegativeTest","postPetWithoutBody","Добавление нового питомца, без данных в теле запроса",""
"passed","Wed Nov 29 17:26:14 GMT 2023","Wed Nov 29 17:26:15 GMT 2023","903","","projectApi._positiveTest.GetPetIdTest","","projectApi._positiveTest.GetPetIdTest","getPetById","Запрос на получение данных о питомце по id",""
"passed","Wed Nov 29 17:26:10 GMT 2023","Wed Nov 29 17:26:11 GMT 2023","1263","","projectApi._negativeTest.GetPetIdNegativeTest","","projectApi._negativeTest.GetPetIdNegativeTest","getFindByIdUnknownId","Запрос на получение данных о питомце с несуществующим в DB id",""
