"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 29 17:46:16 GMT 2023","Wed Nov 29 17:46:17 GMT 2023","269","","projectApi._negativeTest.PostUpdateNegativeTest","","projectApi._negativeTest.PostUpdateNegativeTest","postPetIdWithoutFormData","Обновление данных питомца с несуществующим в DB id",""
"passed","Wed Nov 29 17:46:17 GMT 2023","Wed Nov 29 17:46:18 GMT 2023","938","","projectApi._positiveTest.DeletePetTest","","projectApi._positiveTest.DeletePetTest","deletePetById","Удаление питомца по id и проверка, что данный питомец удалён из BD",""
"passed","Wed Nov 29 17:46:18 GMT 2023","Wed Nov 29 17:46:18 GMT 2023","189","","projectApi._positiveTest.PostAddNewPetTest","","projectApi._positiveTest.PostAddNewPetTest","addPetCorrectData","Добавление нового питомца в магазин",""
"passed","Wed Nov 29 17:46:18 GMT 2023","Wed Nov 29 17:46:19 GMT 2023","354","","projectApi._positiveTest.PostUpdateAPetWithForm","","projectApi._positiveTest.PostUpdateAPetWithForm","updatesAPetInTheStoreWithFormData","Обновление имени и статуса питомца",""
"passed","Wed Nov 29 17:46:18 GMT 2023","Wed Nov 29 17:46:18 GMT 2023","287","","projectApi._positiveTest.GetPetIdTest","","projectApi._positiveTest.GetPetIdTest","getPetById","Запрос на получение данных о питомце по id",""
"passed","Wed Nov 29 17:46:15 GMT 2023","Wed Nov 29 17:46:16 GMT 2023","889","","projectApi._negativeTest.GetPetIdNegativeTest","","projectApi._negativeTest.GetPetIdNegativeTest","getFindByIdUnknownId","Запрос на получение данных о питомце с несуществующим в DB id",""
"passed","Wed Nov 29 17:46:13 GMT 2023","Wed Nov 29 17:46:15 GMT 2023","2634","","projectApi._negativeTest.DeletePetNegativeTest","","projectApi._negativeTest.DeletePetNegativeTest","deletingAPetForAnIDThatDoesNotExistInDB","Удаление питомца по несуществующему в DB id",""
"passed","Wed Nov 29 17:46:19 GMT 2023","Wed Nov 29 17:46:19 GMT 2023","261","","projectApi._positiveTest.PutPetTest","","projectApi._positiveTest.PutPetTest","putPetById","Обновление существующего в DB питомца",""
"passed","Wed Nov 29 17:46:16 GMT 2023","Wed Nov 29 17:46:16 GMT 2023","118","","projectApi._negativeTest.PostAddNegativeTest","","projectApi._negativeTest.PostAddNegativeTest","postPetWithoutBody","Добавление нового питомца, без данных в теле запроса",""
"skipped","Wed Nov 29 17:46:17 GMT 2023","Wed Nov 29 17:46:17 GMT 2023","0","","projectApi._negativeTest.PutPetNegativeTest","","projectApi._negativeTest.PutPetNegativeTest","putPetInExist","Ошибка при попытке обновить несуществующее домашнее животное",""
