"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 08 10:27:51 GMT 2023","Fri Dec 08 10:27:51 GMT 2023","106","","projectApi._negativeTest.PostAddNegativeTest","","projectApi._negativeTest.PostAddNegativeTest","postPetWithoutBody","Добавление нового питомца, без данных в теле запроса",""
"passed","Fri Dec 08 10:27:52 GMT 2023","Fri Dec 08 10:27:53 GMT 2023","127","","projectApi._positiveTest.PostAddNewPetTest","","projectApi._positiveTest.PostAddNewPetTest","addPetCorrectData","Добавление нового питомца в магазин",""
"passed","Fri Dec 08 10:27:53 GMT 2023","Fri Dec 08 10:27:53 GMT 2023","302","","projectApi._positiveTest.PostUpdateAPetWithForm","","projectApi._positiveTest.PostUpdateAPetWithForm","updatesAPetInTheStoreWithFormData","Обновление имени и статуса питомца",""
"passed","Fri Dec 08 10:27:51 GMT 2023","Fri Dec 08 10:27:51 GMT 2023","286","","projectApi._negativeTest.PostUpdateNegativeTest","","projectApi._negativeTest.PostUpdateNegativeTest","postPetIdWithoutFormData","Обновление данных питомца с несуществующим в DB id",""
"passed","Fri Dec 08 10:27:53 GMT 2023","Fri Dec 08 10:27:53 GMT 2023","221","","projectApi._positiveTest.PutPetTest","","projectApi._positiveTest.PutPetTest","putPetById","Обновление существующего в DB питомца",""
"passed","Fri Dec 08 10:27:51 GMT 2023","Fri Dec 08 10:27:52 GMT 2023","953","","projectApi._positiveTest.DeletePetTest","","projectApi._positiveTest.DeletePetTest","deletePetById","Удаление питомца по id и проверка, что данный питомец удалён из BD",""
"skipped","Fri Dec 08 10:27:51 GMT 2023","Fri Dec 08 10:27:51 GMT 2023","0","","projectApi._negativeTest.PutPetNegativeTest","","projectApi._negativeTest.PutPetNegativeTest","putPetInExist","Ошибка при попытке обновить несуществующее домашнее животное",""
"passed","Fri Dec 08 10:27:52 GMT 2023","Fri Dec 08 10:27:52 GMT 2023","207","","projectApi._positiveTest.GetPetIdTest","","projectApi._positiveTest.GetPetIdTest","getPetById","Запрос на получение данных о питомце по id",""
"passed","Fri Dec 08 10:27:47 GMT 2023","Fri Dec 08 10:27:50 GMT 2023","2510","","projectApi._negativeTest.DeletePetNegativeTest","","projectApi._negativeTest.DeletePetNegativeTest","deletingAPetForAnIDThatDoesNotExistInDB","Удаление питомца по несуществующему в DB id",""
"passed","Fri Dec 08 10:27:50 GMT 2023","Fri Dec 08 10:27:51 GMT 2023","856","","projectApi._negativeTest.GetPetIdNegativeTest","","projectApi._negativeTest.GetPetIdNegativeTest","getFindByIdUnknownId","Запрос на получение данных о питомце с несуществующим в DB id",""
